ID,年度,遗址名,探方,单位,原编号,新号,位置,深度,种属,左右,部位,保存状况,愈合状况,件数,备注,M1长,M1宽,M2长,M2宽,M3长,M3宽,1,2,8,9,10,11,12,13,14,18,19,20
50,2000,HD,T31,M54,05,XG4,,深5.1米,狗,右,盆骨,髋臼+坐骨,,1,,,,,,,,,,,,,,,,,,,
51,2000,HD,T31,M54,05,XG4,,深5.1米,狗,,第1节趾骨,,,1,,,,,,,,,,,,,,,,,,,
52,2000,HD,T31,M54,05,XG4,,深5.1米,狗,,盆骨,髂骨,,1,,,,,,,,,,,,,,,,,,,
53,2000,HD,T31,M54,05,XG4,,深5.1米,狗,一付,下颌骨,,,1,左P4-M2，右C+P3-M3,"20,49","8,32","8,86","6,46","4,5","3,86","140,21","136,26","71,91","66,05","33,33","39,1","32,56","21,42","19,55",,"26,74","21,87"
54,2000,HD,T31,M54,05,XG4,,深5.1米,狗,一付,上颌骨,,,1,左I3+C+P3-M2，右C+P4-M2,"12,56","14,61","7,35","8,89","17,24","8,7",,,,,,,,,,,,
55,2000,HD,T31,M54,,XG15,腰坑内,,狗,一付,肱骨,完整,,1,,"25,69","34,91","28,58","22,35",154,,,,,,,,,,,,,
56,2000,HD,T31,M54,,XG15,腰坑内,,狗,一付,盆骨,基本完整,,1,,,,,,,,,,,,,,,,,,,
57,2000,HD,T31,M54,,XG15,腰坑内,,狗,右,尺骨,完整,,1,,,,,,172,,,,,,,,,,,,,
58,2000,HD,T31,M54,,XG15,腰坑内,,狗,一付,股骨,完整,,1,,"34,86","17,8","28,1","29,05",177,,,,,,,,,,,,,
59,2000,HD,T31,M54,,XG15,腰坑内,,狗,一付,肩胛骨,基本完整,,1,,"26,47","16,99",,,,,,,,,,,,,,,,
60,2000,HD,T31,M54,,XG15,腰坑内,,狗,左,胫骨,完整,,1,,"30,34","32,04","20,3","15,66",173,,,,,,,,,,,,,
62,2000,HD,T31,M54,,XG15,腰坑内,,狗,左,尺骨,近端,愈合,1,,,,,,,,,,,,,,,,,,,
63,2000,HD,T31,M54,,XG15,腰坑内,,狗,右,胫骨,近端,,1,,,,,,,,,,,,,,,,,,,
64,2000,HD,T31,M54,,XG15,腰坑内,,狗,,寰椎,完整,,1,,"69,32","24,55",,,,,,,,,,,,,,,,
