分期,地区,墓葬标号,,墓主,墓葬类型,动物,动物,动物,动物,动物,动物,动物
4,殷墟西区,三723,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三724,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三727,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三731,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三732,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三733,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,三735,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三736,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三737,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三739,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三742,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三743,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,三744,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三757,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
3,殷墟西区,三764,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,三769,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三770,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三773,,,,填土/狗/整/1,,,,,,
2,殷墟西区,三775,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三777,,,,填土/狗/整/1,,,,,,
2,殷墟西区,三778,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三780,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三781,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三783,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三785,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三786,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三789,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三790,,,,填土/狗/整/1,,,,,,
2,殷墟西区,三792,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三793,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三794,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三797,,,,填土/狗/整/1,,,,,,
,殷墟西区,三798,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三799,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,三800,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3,殷墟西区,三803,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三808,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三809,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三810,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三811,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三814,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3,殷墟西区,三819,,,,腰坑/狗/整/1,填土/狗/整/1,/牛/腿,,,,
4,殷墟西区,三822,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三823,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三824,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三825,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,三827,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三829,,,,填土/狗/整/1,,,,,,
,殷墟西区,三838,,,,填土/狗/整/1,,,,,,
,殷墟西区,三844,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三845,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三846,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三847,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,三848,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三853,,,,填土/狗/整/1,,,,,,
,殷墟西区,三854,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,殷墟西区,三855,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三856,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,三857,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三858,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三861,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,四201,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,四202,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,四204,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,四206,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,四211,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,四214,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,四216,,,,二层台/马/整/1,,,,,,
4,殷墟西区,四217,,,,腰坑/狗/整/1,二层台/马/整/1,,,,,
4,殷墟西区,四222,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,四223,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,四250,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,四251,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,四252,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,四1105,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,四1106,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,四1108,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,四1113,,,,填土/狗/整/1,,,,,,
4,殷墟西区,五4,,,,/牛/腿,,,,,,
4,殷墟西区,五5,,,,/兽,,,,,,
,殷墟西区,六7,,,,/马,,,,,,
3,殷墟西区,六9,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3,殷墟西区,六14,,,,填土/狗/整/1,,,,,,
4,殷墟西区,六21,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,六29,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,六42,,,,填土/狗/整/1,,,,,,
4,殷墟西区,六98,,,,填土/狗/整/1,,,,,,
4,殷墟西区,六101,,,,填土/狗/整/1,,,,,,
4,殷墟西区,六103,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,殷墟西区,六159,,,,腰坑/狗/整/1,,,,,,
2,殷墟西区,六161,,,,腰坑/狗/整/1,填土/狗/整/1,/牛/腿,,,,
4,殷墟西区,六1001,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1002,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1003,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1006,,,,腰坑/鱼/整/1,/羊/腿,,,,,
3,殷墟西区,六1010,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,殷墟西区,六1012,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,六1011,,,,/羊/腿,,,,,,
4,殷墟西区,六1015,,,,填土/狗/整/1,,,,,,
4,殷墟西区,六1018,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1023,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1022,,,,/兽;小,,,,,,
4,殷墟西区,六1028,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3,殷墟西区,六1029,,,,二层台/猪/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,六1030,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1033,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,六1035,,,,填土/狗/整/1,,,,,,
4,殷墟西区,六1042,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1043,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1044,,,,填土/狗/整/1,,,,,,
4,殷墟西区,六1053,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1070,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,殷墟西区,六1074,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,六1075,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,六1078,,,,填土/狗/整/1,,,,,,
4,殷墟西区,六1082,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1085,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,六1091,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,六1103,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,殷墟西区,七43,,,,车马坑/马/整/2,,,,,,
4,殷墟西区,七46,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,七50,,,,填土/狗/整/1,,,,,,
4,殷墟西区,七53,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,七55,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,七150,,,,马坑/马/整/2,,,,,,
,殷墟西区,七151,,,,车马坑/马/整/2,,,,,,
,殷墟西区,七914,,,,填土/狗/整/2,,,,,,
4,殷墟西区,七921,,,,填土/狗/整/1,,,,,,
4,殷墟西区,七922,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,七923,,,,填土/狗/整/1,,,,,,
3,殷墟西区,七928,,,,填土/狗/整/1,,,,,,
3,殷墟西区,七929,,,,填土/狗/整/1,/兽,,,,,
,殷墟西区,七931,,,,填土/狗/整/1,,,,,,
4,殷墟西区,七934,,,,填土/狗/整/1,,,,,,
3,殷墟西区,七936,,,,填土/狗/整/1,,,,,,
4,殷墟西区,七953,,,,填土/狗/整/1,,,,,,
4,殷墟西区,七960,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,七969,,,,填土/狗/整/1,,,,,,
3,殷墟西区,七970,,,,填土/狗/整/1,腰坑/狗/整/1,/兽,,,,
3,殷墟西区,七973,,,,填土/狗/整/1,,,,,,
3,殷墟西区,七974,,,,填土/狗/整/1,,,,,,
,殷墟西区,七981,,,,填土/狗/整/1,,,,,,
,殷墟西区,七983,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
2,殷墟西区,七991,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,七992,,,,填土/狗/整/1,,,,,,
3,殷墟西区,七994,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,八94,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,八95,,,,填土/狗/整/1,,,,,,
4,殷墟西区,八261,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,八263,,,,填土/狗/整/1,,,,,,
2,殷墟西区,八265,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,八274,,,,填土/狗/整/1,,,,,,
4,殷墟西区,八280,,,,填土/狗/整/1,,,,,,
3,殷墟西区,八1127,,,,填土/狗/整/1,,,,,,
,殷墟西区,八1129,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,八1136,,,,填土/狗/整/1,,,,,,
4,殷墟西区,八1144,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,四盘磨,SPM2,,,,腰坑/狗/整/1,,,,,,
,四盘磨,SPM5,,,,/狗,,,,,,
,四盘磨,SPM15,,,,/兽/肢/2,,,,,,
,四盘磨,SPM1,,/头西/奴隶,,/牛/肢/1,,,,,,
,五道沟,WTKM1,,,,腰坑/狗/整/1,,,,,,
,五道沟,WTKM2,,,,腰坑/狗/头/1,,,,,,
2,西北冈,84AWBM260,,女//王室,甲形,腰坑/狗/整/1/头北,/马,/牛,/羊,/猪,,
2,西北冈,84AWBM259,,/头南,,填土/狗/整/1,二层台/狗/整/5,二层台/牛/腿/1,,,,
1,小屯,乙区M188,,,竖穴木椁,/狗,,,,,,
1,小屯,乙区M232,,,竖穴木椁,/狗,,,,,,
1,小屯,丙区M333,,,竖穴木椁,/狗,,,,,,
1,小屯,丙区M388,,,竖穴木椁,/狗,,,,,,
4晚,殷墟西区,七84M1713,,/头南/军事贵族,长方竖穴,腰坑/狗/整/1/头南,墓室/狗/整/1,二层台/牛/腿;骶/2,二层台/羊/腿/1,,,
,殷墟西区,七M43,,,车马坑,车马坑/马/整/2,,,,,,
,殷墟西区,七M150,,,马坑,马坑/马/整/2,,,,,,
,殷墟西区,七M151,,,车马坑,车马坑/马/整/2,,,,,,
,殷墟西区,六M7,,,车马坑,车马坑/马/整,,,,,,
,殷墟西区,M698,,,墓道马坑,墓道/马/整/2,,,,,,
2,铁三路,2006ATSM89,,/头北/中,长方竖穴,椁室/牛/腿/1,椁室/狗/整/1/头北,,,,,
中商,陶家营,21M12,,男/头北/中高,长方竖穴,腰坑/狗/整/1/头北,二层台/狗/整/2,,,,,
,刘家庄,92ALNM346,,,车马坑,车马坑/马,,,,,,
,刘家庄,92ALNM347,,,车马坑,车马坑/马,,,,,,
,刘家庄,92ALNM348,,,车马坑,车马坑/马,,,,,,
,刘家庄,92ALNM350,,,车马坑,车马坑/马,,,,,,
,刘家庄,93ALNM438,,,车马坑,车马坑/马,,,,,,
,刘家庄,93ALNM439,,,车马坑,车马坑/马,,,,,,
,郭家庄,87AGNM52,,///M172,车马坑,车马坑/马,马羊坑/马,马羊坑/羊,,,,
,郭家庄,87AGNM58,,///M172,车马坑,车马坑/马,马羊坑/马,马羊坑/羊,,,,
,郭家庄,89AGNM146,,///M160,车马坑,车马坑/马,马羊坑/马,马羊坑/羊,,,,
,郭家庄,89AGNM147,,///M160,车马坑,车马坑/马,马羊坑/马,马羊坑/羊,,,,
,刘家庄,M339,,,拆车葬,/马/整/2,,,,,,
3,戚家庄,AGSM269,爰/大贵,,长方竖穴,腰坑/狗/下颌/1/头北,填土/狗/整/1/头南,二层台/牛/头/1,二层台/羊/头/2,椁盖/羊/腿/2,二层台/牛/腿/1,
4晚,戚家庄,戚家庄M3,,,长方竖穴,棺盖/羊/腿/1,,,,,,
4晚,戚家庄,戚家庄M8,,,长方竖穴,腰坑/狗/整/1/头南,二层台/羊/腿/1,,,,,
2,戚家庄,戚家庄M12,,///M13,长方竖穴/异穴并葬,棺盖/羊/腿/1,填土/狗/整/1/头北,,,,,
4晚,戚家庄,戚家庄M30,,,长方竖穴,填土/狗/整/1/头南,,,,,,
4早,戚家庄,戚家庄M38,,女,长方竖穴,墓主骨/狗/头/1/头西,,,,,,
4早,戚家庄,戚家庄M41,,,长方竖穴,腰坑/狗/整/1,,,,,,
4晚,戚家庄,戚家庄M42,,女,长方竖穴,腰坑/狗/整/1/头南,,,,,,
4早,戚家庄,戚家庄M50,,,长方竖穴,腰坑/狗/整/1,填土/蚌鱼//1,,,,,
4早,戚家庄,戚家庄M54,,,长方竖穴,腰坑/狗/整/1,,,,,,
4晚,戚家庄,戚家庄M60,,,长方竖穴,二层台/羊/腿/1,,,,,,
4早,戚家庄,戚家庄M63,箙?/中小贵,,长方竖穴,填土/狗/整/1/头东,腰坑/狗/整/1/头北,,,,,
4早,戚家庄,戚家庄M77,,男,长方竖穴,腰坑/狗/整/1/头北,,,,,,
4晚,戚家庄,戚家庄M94,,,长方竖穴,盗洞/牛/腿/1,/蚌鱼//5,,,,,
4早,戚家庄,戚家庄M98,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
4晚,戚家庄,戚家庄M104,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
3,戚家庄,戚家庄M106,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
4早,戚家庄,戚家庄M108,,,长方竖穴,腰坑/狗/整/1,,,,,,
3,戚家庄,戚家庄M112,,,长方竖穴,腰坑/狗/整/1,,,,,,
4早,戚家庄,戚家庄M121,,,长方竖穴,二层台/羊/腿/1,,,,,,
3,戚家庄,戚家庄M128,,童,长方竖穴,腰坑/狗/整/1/头北,,,,,,
,戚家庄,戚家庄M133,,,长方竖穴,填土/马/整/1/头东/侧卧,,,,,,
2,戚家庄,戚家庄M139,,,长方竖穴,填土/狗/整/1,,,,,,
4早,戚家庄,戚家庄M153,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
3,戚家庄,戚家庄M158,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
4晚,戚家庄,戚家庄M165,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
3,戚家庄,戚家庄M178,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
4早,戚家庄,戚家庄M179,,少年,长方竖穴,二层台/羊/腿/1,,,,,,
3,戚家庄,戚家庄M189,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
3,戚家庄,戚家庄M190,,,长方竖穴,腰坑/狗/整/1,,,,,,
4早,戚家庄,戚家庄M191,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
4早,戚家庄,戚家庄M192,,男,长方竖穴,腰坑/狗/整/1/头北,,,,,,
3,戚家庄,戚家庄M193,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
4晚,戚家庄,戚家庄M200,,,长方竖穴,腰坑/狗/整/1/头北,盘/兽,,,,,
4晚,戚家庄,戚家庄M205,,,长方竖穴,二层台/羊/腿/1,二层台/牛/腿/1,,,,,
4晚,戚家庄,戚家庄M215,,,长方竖穴,二层台/羊/腿/1,,,,,,
4早,戚家庄,戚家庄M221,,,长方竖穴,腰坑/狗/整/1/头北,/牛/腿/1,,,,,
4晚,戚家庄,戚家庄M222,,,长方竖穴,二层台/羊/腿/1,,,,,,
4早,戚家庄,戚家庄M223,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
4早,戚家庄,戚家庄M224,,,长方竖穴,腰坑/狗/整/1/头北,/牛/肩胛骨,,,,,
4晚,戚家庄,戚家庄M231,再/中小贵,,长方竖穴,腰坑/狗/整/1,二层台/牛/腿/1,二层台/羊/腿/2,,,,
4早,戚家庄,戚家庄M235,钺箙/小贵,,长方竖穴,填土/狗/整/1/头北,腰坑/狗/整/1/头北,,,,,
2,戚家庄,戚家庄M251,,,长方竖穴,填土/狗/整/1/头南,腰坑/鸡,,,,,
4早,戚家庄,戚家庄M252,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
3,戚家庄,戚家庄M255,,,长方竖穴,腰坑/狗/整/1/头南,,,,,,
4晚,戚家庄,戚家庄M257,,女,长方竖穴,腰坑/狗/整/1/头北,,,,,,
2,戚家庄,戚家庄M261,,,长方竖穴,腰坑/狗/整/1/头南,,,,,,
2,戚家庄,戚家庄M265,,///M266,长方竖穴/异穴并葬,二层台/羊/腿/1,,,,,,
4晚,戚家庄,戚家庄M267,,,长方竖穴,腰坑/狗/整/1/头北,/羊/头;腿,,,,,
2,戚家庄,戚家庄M268,,,长方竖穴,腰坑/狗/整/1/头南,/羊/头;腿,,,,,
4早,戚家庄,戚家庄M146,,,长方竖穴,/蚌鱼//19,,,,,,
,徐家桥,04徐M10,,,,腰坑/狗/整/1,,,,,,
2,徐家桥,05徐M1,,,,腰坑/狗/整/1/头北,,,,,,
,徐家桥,05徐M2,,,,腰坑/狗/整/1/头北,,,,,,
,徐家桥,05徐M4,,,,腰坑/狗/整/1/头南,,,,,,
3,徐家桥,05徐M7,,,,腰坑/狗/整/1/头北,,,,,,
2,郭家庄,05-06文源绿岛M5,,/头东,,二层台/狗,二层台/马/头,二层台/马/腿,腰坑/狗/整/1/头西,,,
4,郭家庄,05-06文源绿岛M15,,/头北,,腰坑/狗/整/1/头北,,,,,,
4,郭家庄,05-06文源绿岛M25,,,,腰坑/狗/整/1/头北,,,,,,
3,郭家庄,05-06文源绿岛M27,,/头南,,腰坑/狗/整/1/头北,,,,,,
3,郭家庄,05-06文源绿岛M28,,/头北,,腰坑/狗/整/1/头北,,,,,,
4,郭家庄,05-06文源绿岛M38,,女/头北,,腰坑/狗/整/1/头北,,,,,,
3,郭家庄,05-06文源绿岛M40,,女/头北,,腰坑/狗/整/1/头北,,,,,,
4,郭家庄,05-06文源绿岛M41,,,,二层台/羊/腿/1,,,,,,
2,郭家庄,05-06文源绿岛M45,,/头北,,腰坑/狗/整/1/头南,,,,,,
2,郭家庄,05-06文源绿岛M46,,/头北,,腰坑/狗/整/1/头南,,,,,,
4,郭家庄,05-06文源绿岛M58,,女/头北,,腰坑/狗/整/1/头北,,,,,,
2,郭家庄,05-06文源绿岛M60,,女/头北,,腰坑/狗/整/1/头南,,,,,,
3,郭家庄,05-06文源绿岛M79,,/头南,,腰坑/狗/整/1/头北,,,,,,
4,郭家庄,05-06文源绿岛M110,,/头南,,腰坑/狗/整/1/头东,,,,,,
,郭家庄,05-06赛格金地M16,,/头南,,腰坑/狗/整/1/头南,,,,,,
3,郭家庄,05-06赛格金地M18,,/头南,,腰坑/狗/整/1,二层台/牛/腿/1,,,,,
,郭家庄,07物华公寓M41,,男/头北,,/兽/骨,,,,,,
3,郭家庄,07物华公寓M38,,男/头北,,/羊/骨/1,/鱼/骨/1,,,,,
3,王裕口,王裕口2号楼M1,,/头东,,二层台/狗/整/1,,,,,,
4,王裕口,王裕口4号楼M2,,/头南,,腰坑/狗/整/1/头西,,,,,,
1晚,大司空,04A区M2,,,,腰坑/狗/整/1,填土/狗/整/1,二层台/羊/腿/1,,,,
4早,大司空,04A区M3,,,,腰坑/兽;小/骨/1,,,,,,
3早,大司空,04A区M5,,,,腰坑/狗/整/1,,,,,,
4晚,大司空,04A区M6,,,,腰坑/狗/整/1,,,,,,
3早,大司空,04A区M10,,,,腰坑/兽/骨/1,,,,,,
2晚,大司空,04A区M11,,,,/羊/腿/1,,,,,,
4晚,大司空,04A区M18,,,,腰坑/狗/整/1,二层台/狗/整/1,,,,,
4晚,大司空,04A区M19,,,,腰坑/狗/整/1,,,,,,
4晚,大司空,04A区M20,,,,腰坑/狗/整/1,,,,,,
4晚,大司空,04A区M21,,,,腰坑/狗/整/1,,,,,,
4早,大司空,04A区M22,,,,/兽;小/骨/1,,,,,,
2,大司空,04B区M30,,,,墓底/狗/整/1,,,,,,
,大司空,04A区M31,,,,腰坑/狗/整/1,二层台/狗/整/1,,,,,
3晚,大司空,04A区M32,,,,/兽/腿/1,,,,,,
3,大司空,04A区M33,,,,腰坑/狗/整/1,,,,,,
4晚,大司空,04B区M34,,,,腰坑/狗/整/1,二层台/兽,,,,,
4,大司空,04B区M36,,,,腰坑/狗/整/1,,,,,,
,大司空,04B区M42,,,,腰坑/狗/整/1,,,,,,
2晚,大司空,04B区M43,,,,腰坑/狗/整/1,,,,,,
4晚,大司空,04B区M58,,,,腰坑/狗/整/1,填土/狗/整/1,二层台/牛/腿/1,二层台/羊/腿/1,,,
,大司空,04A区M61,,,,/鱼/鳃,,,,,,
4晚,大司空,04A区M69,,,,填土/狗/整/1,,,,,,
4,大司空,04B区M70,,,,填土/狗/整/1,,,,,,
4早,大司空,04A区M72,,,,/兽/骨,,,,,,
4晚,大司空,04A区M80,,,,/狗/整/1,,,,,,
2晚,大司空,04A区M81,,,,填土/狗/整/1,,,,,,
2晚,大司空,04C区M90,,,,/兽/骨,,,,,,
4早,大司空,04C区M91,,,,二层台/牛/腿/1,二层台/羊/腿/1,,,,,
2晚,大司空,04A区M94,,,,填土/狗/整/1,,,,,,
3晚,大司空,04A区M105,,,,腰坑/狗/整/1,,,,,,
4晚,大司空,04C区M106,,,,/兽/骨,,,,,,
2晚,大司空,04B区M108,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4晚,大司空,04C区M111,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4早,大司空,04C区M112,,,,/兽/骨,,,,,,
2早,大司空,04A区M121,,,,腰坑/狗/整/1,二层台/狗/整/1,,,,,
2,大司空,04A区M123,,,,二层台/狗/整/1,,,,,,
4早,大司空,04C区M126,,,,腰坑;3/狗;雄/整/1,腰坑;2/狗;雌/整/1,二层台/猪/腿/1,二层台/羊/腿/1,/鸡/骨,,
3早,大司空,04A区M127,,,,腰坑/狗/整/1,,,,,,
4早,大司空,04A区M128,,,,填土/狗/整/1,,,,,,
4,大司空,04C区M130,,,,腰坑/狗/整/1,/兽/骨,,,,,
4晚,大司空,04C区M136,,,,填土/狗/整/1,,,,,,
2晚,大司空,04C区M146,,,,/兽/骨,,,,,,
3晚,大司空,04A区M151,,,,/兽/骨,,,,,,
4早,大司空,04C区M154,,,,/兽/骨,,,,,,
3早,大司空,04C区M155,,,,填土/狗/整/1,,,,,,
2晚,大司空,04C区M158,,,,二层台/牛/腿/1,/兽/骨,/鹿/角,,,,
4晚,大司空,04C区M159,,,,/兽/骨,,,,,,
4晚,大司空,04A区M163,,,,棺/兽/腿/1,腰坑/狗/整/1,填土/狗/整/1,二层台/兽/腿/1,,,
3早,大司空,04C区M166,,,,腰坑/狗/整/1,/兽/骨,,,,,
2晚,大司空,04C区M168,,,,腰坑/狗/整/1,,,,,,
2晚,大司空,04A区M169,,,,腰坑/狗/整/1,,,,,,
4早,大司空,04A区M171,,,,二层台/狗/头/1,,,,,,
4早,大司空,04C区M172,,,,/牛/腿/1,,,,,,
3晚,大司空,04D区M203,,,,腰坑/狗/整/1,,,,,,
4,大司空,04C区M204,,,,墓室/狗/整/1,,,,,,
3晚,大司空,04D区M205,,,,/兽/骨,,,,,,
2晚,大司空,04D区M207,,,,填土/狗/整/1,,,,,,
2晚,大司空,04D区M209,,,,腰坑/狗/整/1,填土/狗/整/1,腰坑/鹿/角/1,,,,
3晚,大司空,04D区M215,,,,/兽/骨,,,,,,
4早,大司空,04D区M216,,,,腰坑/狗/整/1,,,,,,
3早,大司空,04D区M218,,,,腰坑/狗/整/1,,,,,,
2晚,大司空,04D区M219,,,,腰坑/狗/整/1,/兽/骨,,,,,
4晚,大司空,04C区M225,,,,/兽/骨,/牛/腿,/羊/腿,/狗/腿,,,
4晚,大司空,04C区M229,,,,二层台/兽/骨,,,,,,
4早,大司空,04C区M230,,,,二层台/牛/腿/1,二层台/羊/腿/1,二层台/兽/腿/1,腰坑/狗/整/1,/鱼;蚌鱼,,
4早,大司空,04C区M253,,,,腰坑/狗/整/1,,,,,,
2-3,大司空,04C区M256,,,,腰坑/狗/整/1,,,,,,
2晚,大司空,04C区M257,,,,/兽/骨,,,,,,
4晚,大司空,04C区M261,,,,腰坑/狗/整/1,/兽/骨,,,,,
1晚,大司空,04C区M264,,,,二层台/狗/整/1,,,,,,
4,大司空,04C区M271,,,,腰坑/狗/整/1,,,,,,
3早,大司空,04C区M278,,,,二层台/兽/腿/1,/兽/骨,,,,,
4早,大司空,04C区M280,,,,壁龛/狗/整/1,壁龛/兽/腿/1,/兽/骨,,,,
2晚,大司空,04C区M281,,,,壁龛/狗/整/1,壁龛/兽/腿/1,/兽/骨,,,,
2晚,大司空,04C区M285,,,,腰坑/狗/整/1,,,,,,
4早,大司空,04C区M286,,,,腰坑/狗/整/1,/牛/腿,,,,,
3早,大司空,04C区M287,,,,腰坑/狗/整/1,,,,,,
4早,大司空,04C区M292,,,,腰坑/狗/整/1,/兽/骨,,,,,
4早,大司空,04C区M298,,,,腰坑/狗/整/1,二层台/牛/腿/1,二层台/兽/骨,,,,
4,大司空,04C区M299,,,,二层台/狗/整/1,二层台/猪/腿/1,,,,,
4早,大司空,04C区M301,,,,腰坑/狗/整/1,二层台/牛/腿/1,二层台/羊/腿/1,,,,
4晚,大司空,04C区M303,,,,填土/狗/整/3,腰坑/狗/整/1,/鱼//100,,,,
3晚,大司空,04D区M303,,,,/兽/骨,,,,,,
2晚,大司空,04D区M337,,,,棺/狗/整/1,,,,,,
4早,大司空,04B区M346,,,,腰坑/狗/整/1,,,,,,
4早,大司空,04B区M348,,,,腰坑/狗/整/1,,,,,,
4早,大司空,04B区M349,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
2晚,大司空,04D区M356,,,,腰坑/狗/整/1,二层台/狗/整/1,二层台/羊/腿/1,,,,
3晚,大司空,04D区M360,,,,/兽/骨,,,,,,
2晚,大司空,04B区M364,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,大司空,04B区M371,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3,大司空,04D区M374,,,,腰坑/狗/整/1,/兽/牙,,,,,
