分期,地区,墓葬标号,,墓主,墓葬类型,动物,动物,动物,动物,动物,动物,动物
3,郭家庄,82-92郭家庄M112,,,丁,腰坑/狗/整/1,,,,,,
4晚,郭家庄,82-92郭家庄M114,,,丁,腰坑/狗/整/1,,,,,,
4早,郭家庄,82-92郭家庄M118,,,丙,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M135,,,丁,腰坑/狗/整/1,,,,,,
4晚,郭家庄,82-92郭家庄M138,,,丁,腰坑/狗/整/1,,,,,,
4晚,郭家庄,82-92郭家庄M140,,,,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M141,,,丁,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M160,,,,腰坑/狗/整/1,填土/狗/整/2,,,,,
3,郭家庄,82-92郭家庄M164,,,丁,腰坑/狗/整/1,,,,,,
4早,郭家庄,82-92郭家庄M168,,,,腰坑/狗/整/1,,,,,,
,郭家庄,82-92郭家庄M175,,,丁,腰坑/狗/整/1,,,,,,
,郭家庄,82-92郭家庄M182,,,丁,腰坑/狗/整/1,,,,,,
,郭家庄,82-92郭家庄M206,,,丁,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M223,,,丙,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M225,,,,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M226,,,,腰坑/狗/整/1,,,,,,
2,郭家庄,82-92郭家庄M247,,,丁,腰坑/狗/整/1,,,,,,
,郭家庄,82-92郭家庄M252,,,丁,腰坑/狗/整/1,,,,,,
4早,郭家庄,82-92郭家庄M256,,,,腰坑/狗/整/1,,,,,,
2,郭家庄,82-92郭家庄M263,,,丁,腰坑/狗/整/1,,,,,,
,郭家庄,82-92郭家庄M268,,,,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M269,,,丙,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M270,,,丙,腰坑/狗/整/1,,,,,,
,郭家庄,82-92郭家庄M271,,,,腰坑/狗/整/1,,,,,,
